регион,год,I+J3,J1,J3,N
Алтайский край,2009,3248,7817,387,2493.745
Алтайский край,2010,2886,7530,461,2421.883
Алтайский край,2011,3033,8217,1015,2412.294
Алтайский край,2012,2745,10434,839,2398.751
Алтайский край,2013,2640,11288,958,2390.638
Алтайский край,2014,2551,12391,1037,2390.638
Алтайский край,2015,2554,13842,1188,2384.812
Алтайский край,2016,2375,15364,1322,2376.774
Алтайский край,2017,2129,16240,1456,2365.68
Алтайский край,2018,2053,16000,1342,2350.08
Алтайский край,2019,1811,16322,1178,2332.813
Алтайский край,2020,1314,17082,973,2317.153
Алтайский край,2021,1170,17982,920,2296.353
Амурская обл.,2009,1245,195,7,862.572
Амурская обл.,2010,1244,230,10,830.232
Амурская обл.,2011,1020,278,7,825.116
Амурская обл.,2012,901,320,8,816.91
Амурская обл.,2013,816,305,12,811.274
Амурская обл.,2014,689,360,14,811.274
Амурская обл.,2015,621,424,22,809.873
Амурская обл.,2016,539,495,24,805.689
Амурская обл.,2017,494,545,25,801.752
Амурская обл.,2018,464,635,33,798.424
Амурская обл.,2019,445,728,38,793.194
Амурская обл.,2020,374,797,33,790.044
Амурская обл.,2021,367,875,32,781.846
Архангельская обл.,2009,679,292,6,1258.242
Архангельская обл.,2010,646,363,7,1230.543
Архангельская обл.,2011,625,1012,8,1219.207
Архангельская обл.,2012,501,474,6,1159.506
Архангельская обл.,2013,465,561,9,1148.76
Архангельская обл.,2014,420,1045,10,1148.76
Архангельская обл.,2015,373,1259,10,1139.95
Архангельская обл.,2016,335,1336,7,1130.24
Архангельская обл.,2017,251,1191,5,1121.813
Архангельская обл.,2018,230,1421,11,1111.031
Архангельская обл.,2019,220,1653,18,1100.29
Архангельская обл.,2020,163,1719,15,1092.424
Архангельская обл.,2021,166,1822,16,1082.662
Астраханская обл.,2009,913,386,5,1006.177
Астраханская обл.,2010,901,397,12,1010.598
Астраханская обл.,2011,948,486,26,1012.386
Астраханская обл.,2012,1071,482,21,1013.84
Астраханская обл.,2013,995,562,44,1016.516
Астраханская обл.,2014,959,681,56,1016.516
Астраханская обл.,2015,1068,773,80,1021.287
Астраханская обл.,2016,982,893,52,1018.626
Астраханская обл.,2017,916,926,62,1018.866
Астраханская обл.,2018,733,1056,50,1017.514
Астраханская обл.,2019,790,1121,50,1014.065
Астраханская обл.,2020,602,1181,62,1005.782
Астраханская обл.,2021,547,1251,63,997.778
БелГ.ская обл.,2009,784,679,22,1527.603
БелГ.ская обл.,2010,712,823,28,1532.205
БелГ.ская обл.,2011,621,917,27,1534.213
БелГ.ская обл.,2012,602,1003,23,1540.985
БелГ.ская обл.,2013,452,1150,17,1544.108
БелГ.ская обл.,2014,448,1277,20,1544.108
БелГ.ская обл.,2015,420,1443,19,1547.936
БелГ.ская обл.,2016,333,1737,22,1550.137
БелГ.ская обл.,2017,303,2072,20,1552.865
БелГ.ская обл.,2018,265,2246,32,1549.876
БелГ.ская обл.,2019,220,2375,25,1547.418
БелГ.ская обл.,2020,183,2427,28,1549.151
БелГ.ская обл.,2021,175,2498,25,1541.259
Брянская обл.,2009,1277,1099,31,1295.917
Брянская обл.,2010,1138,1202,36,1280.493
Брянская обл.,2011,1007,1314,50,1269.885
Брянская обл.,2012,931,1431,49,1253.666
Брянская обл.,2013,866,1533,56,1242.599
Брянская обл.,2014,796,1650,57,1242.599
Брянская обл.,2015,729,1767,71,1232.94
Брянская обл.,2016,655,2025,69,1225.741
Брянская обл.,2017,539,2194,70,1220.53
Брянская обл.,2018,471,2505,67,1210.982
Брянская обл.,2019,444,2760,49,1200.187
Брянская обл.,2020,333,2622,50,1192.491
Брянская обл.,2021,279,2753,46,1182.682
Владимирская обл.,2009,1156,1233,56,1434.922
Владимирская обл.,2010,939,1415,71,1446.92
Владимирская обл.,2011,873,2585,32,1436.531
Владимирская обл.,2012,877,1797,63,1421.742
Владимирская обл.,2013,728,2042,42,1413.321
Владимирская обл.,2014,713,2252,67,1413.321
Владимирская обл.,2015,650,2658,79,1405.613
Владимирская обл.,2016,510,3073,99,1397.168
Владимирская обл.,2017,528,3542,97,1389.599
Владимирская обл.,2018,494,3832,98,1378.337
Владимирская обл.,2019,457,4272,87,1365.805
